dosen,judul,abstrak,keyword
", Nurgiyatna, S.T., M.Sc., Ph.D.",Sistem Administrasi Dokumen Berbasis Web pada Forum Human Capital Indonesia,"Forum Human Capital Indonesia (FHCI) is a community of Human Capital Management Managers to interact and learn to develop Human Capital management in Indonesia.  In running its operational activities, FHCI need to manage a lot of documents to support its administration. The document management in FHCI is classified by its types and uses, such as received letter, sent letter, invoice, receipt, payment request letter, or a warrant of payment. FHCI has used Microsoft excel as its document administration system, but it is difficult for the staff to find and number the document. Therefore, this document administration system is created in order to expedite the management process and avoid the mistakes in its numbering system. This document administration system is developed by implementing the Software Development Life Cycle (SDLC) method with the Waterfall model approach. This system uses PHP programming language with Framework CodeIgniter and database MySQL. The result of this research is in the form of a website that shows the data of received letters, sent letters, invoice, receipt, payment request letter, and warrant of payment equipped with the automatic template and numbering system. Black Box Testing and User Acceptance Test (UAT) were used as testers with 91% results.","Administrasi Dokumen, CodeIgniter, Forum Human Capital Indonesia, Waterfall"
"-, Husni Thamrin, S.T, M.T, Ph.D",Pengenalan Rumah Adat Indonesia Melalui Game Edukasi Berbasis Android,"The development of technology is very fast, one of which is smartphone. User can download many kind of applications dan game that are available. Many game functioned just for entertaining media and less educational. Also attention for Indonesia’s cultures are reduced. That’s why, writer want to make an android based educational game to introduce many kind of ethnic house in Indonesia. Writer choose android because many people are already known and use android nowadays. Education game is a game that give fun and contain elements of education to improve player’s knowledge. In this game player must collect some puzzle pieces in a stage, then player must combine all puzzle pieces to be a picture of ethnic house, short explanation about the ethnic house will show up when the picture is finished. This ethnic house will become collection because collection is one of many game attractiveness. Writer purpose is this game can increase interest of many players to learn more about culture in Indonesia.","android, edukasi, game, rumah adat"
", Dr., Bana handaga MT, Ph.D",Sistem Informasi Manajemen Apotek Pungsari Sragen,"Pada masa kini, masih banyak Apotek yang melakukan administrasi penjualan obat secara manual dan menggunakan tenaga manusia untuk mengolah data apotek. Proses yang masih dilalui secara manual membuat kinerja apotek menjadi kurang efektif dan efisien. Pada pembuatan laporan untuk evaluasi kinerja apotek pungsari juga mengalami kendala, yaitu membutuhkan banyak waktu dan tenaga untuk mengolah laporan tersebut dari data-data yang masih berbentuk kertas sehingga laporan-laporan yang diperlukan tidak dapat langsung tersedia, dikarenakan penerapan proses. Melihat permasalahan tersebut maka dikembangkan sebuah sistem informasi manajemen apotek berbasis website dengan tujuan untuk mempermudah proses pencatatan data obat, input penjualan obat, pembelian obat pada supplier dan juga pembuatan laporan pada apotek secara cepat dan tepat. Pengembangan pada sistem informasi pada penelitian ini menggunakan metode SDLC dengan model waterfall. Sistem ini dibangun menggunakan Framework Codeigniter (CI) dan bahasa pemrograman PHP. Berdasarkan hasil pengujian dengan black box, sistem sudah berjalan dengan baik sesuai kebutuhan apotek dan tidak ditemukan error pada sistem. Kemudian pengujian pada usability dengan mengisi kuesioner oleh para reponden yaitu pimpinan dan pegawai apotek, dari hasil penilaian kuesioner dengan SUS rata-rata yang didapakan yaitu 74,75 maka dapat disimpulkan bahwa sistem yang dikembangkan sudah sesuai kebutuhan apotek dan masuk dalam klasifikasi acceptable pada SUS score sehingga dapat digunakan serta dioperasikan dengan baik dengan didukung dengan fitur penjualan, fitur data obat dan fitur laporan pada website ini.","apotek, sistem informasi, codeigniter, website"
", Heru Supriyono, S.T., M.Sc., Ph.D.",Sistem Informasi Manajemen Penjualan Toko Gaya Busana,"Gaya Busana Store is a business that is engaged in fashion by selling various kinds of fashion needs. In the rapid development of business and technology that continues to increase, it needs a revolution in running a business. Gaya Busana Store still use a manual system that uses paper as a means of recording goods and also income reports are still in book form, so it is not in line with technological developments and also makes it difficult for store clerks. Therefore, researchers created a system that can solve this problem, namely the sales management system of gaya busana store. In this research the system development uses the waterfall method and is made with several components namely HTML, CSS, Javascript, PHP with Codeigniter framework and Mysql as the database. Based on the results of black-box testing the system can run according to its functionality and the SUS test found a score of 75 which means the system can be accepted by the user. The conclusion obtained in this study is that the sales management information system of gaya busana store that was made can help ease the burden on shopkeepers and also help the owner in managing store finances to be more stable.","Codeigniter, Fashion, Manajemen Penjualan, Sistem Informasi"
", Dimas Aryo Anggoro, S.Kom., M.Sc.",Perancangan Sistem Informasi Pendaftaran Santri Baru PPM Al - Musawwa,"Perkembangan sistem informasi yang sangat cepat memberikan kesempatan bagi pengembangan untuk membuat sistem informasi. Di Pondok Pesantren Mahasiswa (PPM)  Al – Musawwa pendaftaran santri baru masih menggunakan cara manual, sehingga pada saat mendaftar harus datang ke sekretariat pondok. Dari penelitian yang dilakukan di PPM Al – Musawwa, bahwa dengan adanya sistem website pendaftaran calon santri baru ini bisa mendaftar dan melihat informasi pendaftaran dari website, selain itu akan mempermudah panitian pendaftaran dalam pengolahan data calon santri baru mulai pendaftaran sampai proses penerimaan santri baru yang berada diluar kota maupun didalam kota, dan menyajikan informasi seputar penerimaan santri baru yang bisa diakses dari media website. Metode yang digunakan dalam penelitian ini yaitu metode waterfall, selain itu metode blackbox dan User Acceptance Test. Setelah diadakan pengujian bahwa 56.3% website berjalan dengan baik sesuai fungsinya masing-masing. Dengan demikian dibuatlah sistem pendaftaran berbasis website yang menggunakan Sublime Text 3, PHP dan MySQL","New Student Islamic Boarding School Registration, SDLC, Information System, Waterfall, Website"
", Dimas Aryo Anggoro, S.Kom., M.Sc.",Sistem Informasi Manajemen Administrasi Dan Keuangan Pada TK-ITPermata Hati Sumberrejo Bojonegoro,"Administrative and financial information systems are one of the most widely applied information technologies to facilitate the management of various data into information. But the TK Hati IT-TK Hati Sumberrejo still uses manual methods in processing student, teacher and staff data as well as payment data in the form of SPP payments, POMG, uniforms and activities. Data processing is done using Microsoft Excel, which results in time consuming when entering data and when re-doing data correction before reported to the Principal. This system was developed aiming to help data and financial management to be more effective and efficient. So, the information from the data entered can be conveyed properly. Therefore, it is necessary to develop a web-based administrative and financial management information system using PHP as a programming language with laravel framework. This system is designed using the waterfall method with six stages. Then the system will be evaluated using the Black Box Test and User Acceptance Test. The results of this study are an information system with various features that can be used to manage student, teacher and staff data, as well as to manage recap payments of SPP fees, POMG, uniforms and activities. The results of the system testing by the Principal, Treasurer staff, Administrative staff, and Admin staff can be concluded that the system is running well and meets the needs of the school.","administrasi, keuangan, laravel, sistem informasi, waterfall."
", Dimas Aryo Anggoro, S.Kom., M.Sc.",Aplikasi Sistem Pendukung Keputusan Dalam Menentukan Rekomendasi Sekolah Menengah Atas (SMA) Negeri Di Kota Madiun Dengan Metode Weighted Product,"Application of Decision Support Systems in Determining Public High School (SMA) Recommendations in Madiun City with the Weighted Product Method is a system that provides information in the form of online school recommendations, thus helping prospective students to find out the school of their choice. The problem that exists today is the number of admissions paths for new students. Starting from the value report card path, achievement path, and zoning path. This encourages researchers to create an information system that can assist prospective students in determining the school of their choice. With a decision support system, prospective students can predict that they will be accepted at the school of their choice or in another school. The DSS method used in this study is the Weighted Product Method. While the software development method used is the waterfall method. Software development is done using PHP as a programming language, then MySql as the database server, and Code Igniter as the PHP framework. Testing on Decision Support System Applications in Determining Recommendations for Public Senior High Schools (SMA) in Madiun City with the Weighted Method was tested by questionnaire and black box testing. Questionnaire testing uses the System Usability Scale (SUS) to measure the system usability from the user's point of view in using the system. Black box testing is focused on the functional system so that the system runs properly.
Keywords: School, SPK, Weighted Product.","Sekolah, SPK, Weighted Product."
", Dimas Aryo Anggoro, S.Kom., M.Sc.",Analisis Sentimen Pilkada di Tengah Pandemi Covid-19 Menggunakan Convolutional Neural Network (CNN),"The 2020 regional head election is controversial, because it was held during the Covid-19 pandemic which was endemic in Indonesia. Comments appear on various social media such as twitter. Many  people agree that the elections will be continued, but there are also many who think that they should postpone the elections until the pandemic period ends. Seeing differences of opinion like this, it is 
necessary to carry out sentiment classification or sentiment analysis,, with the aim of obtaining public perceptions or public opinions of the 2020 regional elections during the Covid-19 pandemic. Total 500 tweets were obtained by crawling data from the twitter API using the tweepy library, based on predetermined keywords.. The data sets obtained were labeled into two classes, negative and positive. 
This study developed a deep learning approach with the Convolution Neural Network (CNN) algorithm for classification, proven to be effective for Natural language processing (NLP) tasks and able to achieve good performance in sentence classification. The experiment was implement by 
applying 4 convolutional layers and observe the effect of total epochs on the model accuracy. The epoch variations used are 50, 75, 100.. The results showed that the CNN method with the local election dataset in the middle of the pandemic received the highest accuracy of 90% with 4-layers 
convolutional and 100 epoch. The web-based sentiment analysis system created can display the results of sentiment analysis on sentence input and can crawling data from Twitter.","Analisis Sentimen, Covid-19, CNN, Deep Learning, NLP"
", Dr. Ir. Bana Handaga M.T",Aplikasi Manajemen Stok Pada Warung Nasi Rames Madura Alamimi Berbasis Website,"WarungaNasi Rames Madura Alamimi telah menjadi mitra gojek dibidang makanan yang bernama gofood sejak 2017. Karena menjadi mitra gojek, warung ini memiliki pasar yang lebih luas, sehingga sering terjadi kerancuan data transaksi. Kemudian dalam sektor pergudangan juga sering terjadi kesalahan dalam oengecekan dan penyusunan daftar belanja. Dari sini penulis berinisiatif untuk membuatkan aplikasi yang diharapkan bisa mempermudah dalam pengecekan stok dan juga dapat meningkatkan akurasi dalam bertransaksi. Dengan cara memperbaiki proses transaksi dan pembukuan dan memperbaiki struktur pada pergudangan dengan membuat daftar barang yang dibutuhkan warung tersebut untuk mengontrol stok dan membuat daftar belanja ketika pengecekan stok telah selesai. Metode yang digunakan dalam penelitian ini adalah dengan mengumpulkan banyak referensi dari pemilik warung dan mengumpulkan data yang dibutuhkan. Kemudian menyusun usecase diagram guna mempermudah dalam pembangunan aplikasi, lalu aplikasi dibangun dengan menggunakan Database Management System MySQL menggunakan framework Laravel. Hasil dari aplikasi ini adalah aplikasi offline untuk pergudangan pada warung tersebut yang dijalankan dengan XAMPP sebagai server. Apliksi tersebut memiliki halaman transaksi sebagai sistem kasir yang langsung terkoneksi dengan halaman laporan transaksi, dan halaman info stok untuk mengontrol stok secara rutin dan menyusun daftar belanja secara otomatis jika stok kurang dari minimal stok yang telah ditentukan.","Aplikasi, Manajemen Stok, Website, Laravel."
", Dr. Ir. Bana Handaga M.T",Sistem Informasi Komoditas Buah – Buahan Di Wilayah Kabupaten Madiun,"The Department of Agriculture and Fisheries of Madiun Regency is a service office that is established under the Madiun Regency administration. So far, the website that is owned by the Department of Agriculture and Fisheries of Madiun Regency still does  not have information related to commodities owned in the Madiun Regency area. Therefore, it is necessary to develop an information system website which can be accessed via the internet that provides information to the wider community related to fruit commodities in the Madiun Regency area such as the name of the fruit commodity produced in Madiun Regency, production center,  harvest  time,  number  of  yields.  In  developing this  information  system using the  waterfall  method.  Application  testing  uses  User  Acceptance  Testing with a percentage result of 89.8% which shows the indicator strongly agrees and blackbox testing which shows the results are in accordance with what is expected and valid.","komoditas buah, sistem informasi, website"
", Dr. Ir. Bana Handaga M.T",Pengembangan Sistem Document Collections KUR TKI BNI Wonosobo.,"The Document Collections system is a system that aims to accelerate the analysis process of TKI's KUR (People's Business Credit). Where previously document collection and data verification could take up to approximately 5 working days because customers or what would later be referred to as CPMI (Prospective Indonesian Migrant Workers) must come to the bank for document submission and verification. With this system, it will help manage customer / debtor data who want to apply for KUR to be more effective and efficient, so that credit analysis and making credit agreements will be made quickly and do not take operational time, previously the process of making a credit agreement could take approximately 5 days  with this system the process of making credit agreements will be faster because the document submission process is done online and precisely. The system is created using the SDLC Waterfall method, which includes system requirements analysis, system design, system implementation, system testing and system maintenance. Website-based systems use PHP as server-side scripting and are made easier with the Codeigniter framework, to beautify the user interface using the help of the CSS framework bootstrap. The existence of this system will accelerate credit analysis and creation of credit agreements in the computerized credit application process automatically.","Pengembangan, Document Collections, Kredit Usaha Rakyat, TKI."
", Dr. Ir. Bana Handaga M.T",Sistem Pendukung Keputusan Prioritas Pengerjaan Order Dengan Metode Topsis Pada Mebel Kreasi Solo,"Furniture is an industry that is engaged in manufacturing, where the manufacturing industry is an industry that manages raw materials into ready-to-use products. The problem that is often faced by furniture is that it is usually difficult to determine the order that must be completed first, because many orders come at one time. Based on these problems, a Decision Support System (DSS) was made using the Technique for Order Preference By Similarity To Ideal Solution (TOPSIS) method. The system development uses the Software Development Life Cycle (SDLC) method with a waterfall model, the Laravel framework with the PHP programming language and MySQL as the database server also uses 2 types of testing, namely blackbox to test system functionality and System Usability Scale (SUS) to measure user satisfaction, with distributing questionnaires to respondents. The results of the blackbox test show that the system functions well and the results of the SUS test in this study get a score of 79.75 into level B with a Good rating. The result of the research that has been made is a decision support system that can be used to help furniture owners determine ordering priorities so that the production process can run smoothly and minimize production delays.","SPK, TOPSIS, Mebel, Prioritas, Order"
"-, Heru Supriyono, S.T. M.Sc, Ph.D",Perancangan Sistem Informasi Membership Berbasis Web di Arm Fitness Center Boyolali,"Boyolali Arm Fitness Center is a fitness center located on the Bangak Simo highway no.6 Rt 10 / Rw 03 Bangak, Banyudono, Boyolali, Central Java. Currently the Boyolali Arm Fitness Center already has many members, but the data storage system of the members at the Boyolali Arm Fitness Center still uses paper so that the member data storage is inefficient, prone to damage and loss. Knowing the weaknesses that exist in the data collection system at the Boyolali Arm Fitness Center, the researchers intend to develop a membership data collection system using a MySQL and PHP database as a programming language.The purpose of this study is to assist the process of recording members, computerizing payment recording systems and program packages. In making this web-based information system, the writer uses the System Development Life Cycle (SDLC) method by using one of the models, the Waterfall model. This approach cycle emphasizes that developing a system will succeed if it follows the stages of needs analysis, data collection, application development, testing, and implementation. The results of this study are web-based membership application. This application has also begun to be applied at the Arm Fitness Center by the owner inputting the data of visitors who come. Black-box test result show that all functions and features are running properly, and result from questionnaire to prospective members and admin of Boyolali Arm Fitness Center get 83.86% which means the information system is useful and can help the performance of Boyolali Arm Fitness Center. So that the web system that has been implemented is a means to facilitate data storage and data collection.","Fitness, Membership, Information System, Web"
"-, Heru Supriyono, S.T. M.Sc, Ph.D",RANCANG BANGUN APLIKASI PENGELOLAAN SURAT PADA KANTOR KELURAHAN KALONGAN,"The Kalongan village office has several tasks in carrying out its role as a government institution, one of which is managing correspondence. Management of letters in the form of filling letters and submitting cover letters which are managed by subdistrict employees, namely the operator division. So far, the process of managing letters in the Kalongan village office is still using the manual method, so that in the process of searching, storing data and submitting cover letters it is deemed less effective. The purpose of this research is to develop a mail management system in the Kalongan village office. The method used in this research is the SDLC (System  Development  Life Cycle) method with the Waterfall model. Some of the software needed in the development of this system are Google Chrome, Sublime Text, XAMPP, Javascript and the CodeigniterFramework. The Hardware used is an Intel Core i5 laptop with 4GB of memory. This research produces a web based mail management system that features a request for a letter request for a list of cover letters submitted by residents, a feature for incoming mail for incoming mail bodies, a feature for outgoing mail for outgoing mail and a report feature for recapitulating reports by month and year. Based on the results   of tests carried out with Blackbox, the system can run according  to the initial design  and the results of the SUS test produce an average value of 77 which is concluded that the system is acceptable to users.","Arsip elektronik, Codeigniter, Waterfall"
", Dr.Ir. Bana Handaga,M.T.",Sistem Pemesanan Makanan Berkonsep Self-Ordering Dan Berbasis Web Pada Rumah Makan,"The conventional and manual ordering process for food is considered to be time-consuming and opens up opportunities for miscommunication due to human error. It also requires a lot of servant. Self-ordering concept in food ordering can be an alternative solution to replace the manual food ordering system. The concept of self-ordering allows buyers to choose orders via desktop or mobile devices. The development of the system in this study allows orders that have been entered by buyers to be sent to the computer in the kitchen and payment invoices will be sent to the cashier's computer. The study took a case study at the Wulan Steak and Geprek Chicken Restaurant located in Mendungan, Kartasura where the restaurant still uses a manual ordering system. This study aims to build a food ordering system with a self-ordering concept in the Wulan Steak and Geprek Chicken restaurant that can facilitate the owner in serving buyers and facilitate the food ordering process. The system was developed using the waterfall method and built based on the web using the PHP programming language as a backend. The results of system testing using the black box testing method show that the system that was built was running well and no errors were found. While the results of a questionnaire test of 31 respondents consisting of buyers and restaurant owners, it can be concluded that the system is considered to facilitate the process of ordering food and is suitable for use.","Food ordering, systems, self-ordering, web"
", Budi Santoso, M.Si","Konstruksi Identitas Diri Virtual Melalui Instagram
(Studi Pada Mahasiswi Jurusan Ilmu Komunikasi Angkatan 2015 Universitas Muhammadiyah Surakarta)","Identity is very important for every person in live. The purpose of this research is to find out what kind of self-identity that the students of Communication Science Faculty, Muhammadiyah University of Surakarta of 2015 want to build / construct in presenting themselves on Instagram social media. This research uses descriptive qualitative research methods with triangulation data collection techniques, by documentation study techniques, online observations, and in-depth interviews. Resource persons studied were 4 female students majoring in Communication Sciences, Muhammadiyah University of Surakarta, class of 2015, who were actively using Instagram social media. The results of this study is that the virtual identity that is built in social media Instagram is in accordance with their dreams such as Ikha becoming a photographer, Julia as an productive person at a young age and pioneering a career in politics, and Lia as a traveler. Three of the all informants, have a backstage that is the same as the front stage on Instagram, where they present their dreams in accordance with reality. And one of them has a little difference that is her dream to be an Instagram celebrity who has not been realized yet and does not match with reality.","Identitas Virtual, Konstruksi Identitas, Media Sosial"
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.",Aplikasi Sistem Informasi Inventory Management Divisi Pengembangan Produk PT Bio Farma (Persero),PT Bio Farma (Persero) is one of the companies under the auspices of the Ministry of BUMN. In the company Bio Farma has a product development division that plays a role in research and development of quality products. Management of material Inventory management in this product development division is needed so it should be monitored every time. The fact showing that the material inventory management is still done by manually using Microsoft Excel and Microsoft Word.  The purpose of this research is to develop information system applications that can be used to manage material inventory in the Product Development Division. To develop this system required guidelines from GAMP-5 which has the model-V diagram as its development method. This application system is developed using the C# programming language and SQL Server 2016 database. This information system Inventory management application is tested using black box method that this information system can run according to functionally designed and testing with System Usability Scale (SUS) method that this information system get an average score of 76.07 stating that the application of this inventory management information system is more than 70 so categorized acceptable.,"bio farma, C#, GAMP-5, inventaris manajemen, sistem informasi"
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.",Sistem Informasi Pemesanan Menu Kantin SMAN 7 Surakarta Berbasis Web Dalam Penerapan Physical Distancing Selama Pandemi Covid-19,"The Covid-19 pandemic outbreak broke out at the end of 2019 originating from Wuhan, China. The COVID-19 disease caused by the Corona Virus has spread throughout the world, including in Indonesia. Physical distancing or keeping a distance is often referred to by the government as a key  step to break the chain of the spread of the Corona virus. This research was developed in order to avoid crowds or jostle at the canteen during breaks at SMAN 7 Surakarta. By ordering online, students can buy food without having to go to the canteen and jostle just by ordering via the Internet in class. This system has three users, namely admin, canteen and students. the class will place an order while the canteen will act as an admin in charge of updating the menu and taking orders. This ordering system will be developed with the CodeIgniter framework that is right for use for website development that is simple but has very complete features and is more than adequate. The programming language used to create this system is PHP and for database management using MySQL and the method used to create this system is the Waterfall method. System testing uses the black box testing method which gives the result that all the features contained in the system can run according to their functions. With the development of the canteen ordering system, it is hoped that it will suppress the spread of the Corona Virus at SMAN 7 Surakarta and become a new idea that can be imitated by other schools.","Covid-19, Kantin, Sistem Informasi Pemesanan."
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.","Pesma International Kh. Mas Mansyur Laundry
Information System","KH Mas Mansyur International Islamic Boarding School has laundry facilities for students. The administrative process is still done manually so that students have difficulty getting transaction information directly. Based on these problems, this study aims to create a web-based information system. The purpose is, this system will help the administrative process to be more efficient and make it easier for students to access information related to laundry. This system develops using Python programming language with Django framework and MySql as the processing database. The final result of the research is a web-based information system that can provide information for students and provide facilities for laundry administration",Sistem laundry. Sistem Web. Sistem Informasi. Administrasi. Pengembangan perangkat lunak
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.",Sistem Informasi Manajemen Penjualan Burung Jalak Sasa Bird Farm,"Starling breeding Sasa Bird Farm is a starling breeding located in the village of Senden Ngawen Klaten which was established in 2010, this breeding breeds various kinds of starlings starting from the suren starling, white starling to Bali starling whose maintenance must use a certificate of ownership and captivity. However, this sale is still classified as manual with buyers having to come directly to captivity and make transactions face-to-face directly, this makes various cities experience problems in buying birds, therefore an online sales system is formed. The information system for selling starlings Sasa Bird Farm is a system used to manage sales of results from captivity so that data is more organized and sales are wider in line with increasingly advanced technology developments using the System Development Life Cycle method with the establishment of a web-based information system. each of these captive results can be integrated and the sales proceeds from captivity can be online do not have to come to captivity.","Sistem informasi,burung jalak,penangkar jalak,metode waterfall"
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.",PEMBUATAN SISTEM INFORMASI E-LEARNING SMA NEGERI 1 WERU,"The Covid-19 pandemic has had a considerable impact on the world of education. Online learning is an alternative to reduce the spread of the virus. This study aims to design a company profile and website-based e-learning system at SMA Negeri 1 Weru, so that it can make it easier for teachers and students in online learning. The method used is the waterfall method with the following stages: requirements (needs analysis), system design (system design), coding & testing, program implementation, and maintenance. This system uses black-box testing and a System Usability Scale (SUS) for its manufacture. The results of this study are a company profile information system and website-based e-learning that can be implemented at SMA Negeri 1 Weru. Students can download material and do practice questions and exams. Teachers can upload material, practice questions and exams, and view summary answers.","company profile, e-learning, waterfall, pandemi covid-19"
", Fajar Suryawan, S.T, M.Eng.Sc.,Ph.D.",Web GIS Pemetaan Objek Wisata Kabupaten Klaten Menggunakan Leaflet,"Klaten Regency has many tourist destinations that are not widely known by tourists. Although there are many platforms that provide information on tourist attractions, it is still rare to find a platform in the form of online mapping. This study aims to designing a website-based information system that displays the distribution of the location of tourist objects in the form of dynamic maps, 2) providing information to the public, especially domestic foreign tourists, regarding the location of tourist objects, categories of tourist types, descriptions of tourist objects and photos used to provide visual information about tourist objects in klaten city. The method used is the Waterfall method, while the system design uses the UML (Unified Modeling Language) method. The making of this system uses the PHP programming language with the Laravel Framework and uses Mysql as a place to store data and uses leaflets to display maps. The data that is informed through this system is information about tourist attractions, locations, descriptions of tourist attractions, addresses, coordinate points, and photos of tourist locations. The data analysis technique used in this study was descriptive qualitative. The research results show that based on the Geographical Information System design, the WebGis information system is attractive, interactive, and easy to operate. By implementing this information system, it is hoped that the public will know the distribution, description of tourist attractions, addresses, and coordinate points of tourist objects in Klaten Regency.","Kabupaten Klaten, Leflet, Obyek Wisata, Pemetaan, WebGIS."
", Prof. Dr. Budi Murtiyasa, M.Kom",Aplikasi Pengenalan Alat Musik Tradisional Serunai Berbasis Android,"Traditional music is a cultural heritage that makes a characteristic of a country but now the demand is diminishing and one of them is the use of a stringed instrument. The musical instrument is a stringed musical instrument that can be popularized again because it has a unique regional attraction that must be preserved. Based on the problem above, the purpose of the application of the introduction of the musical instrument is to introduce one of the traditional musical instruments typical of Sumbawa with an Android-based system. This application is served in the 2D form and uses the game engine construct 2. This application is able to introduce and re-lift the appeal of a stringed traditional musical instrument.","Android, Serunai"
", Nurgiyatna,S.T.,M.Sc,Ph.D.",Implementasi 3D Augmented Reality dengan Peta Gua Jomblang,"Jomblang Cave is a special interest tourism destination for tourists when traveling to Yogyakarta. The amazing phenomenon that exists in the cave and its perguaan system always invites curiosity from researchers from various disciplines. Therefore, a cave map is needed to make it easier for researchers to see the situation in the kars region. Representing the Aisle situation in the kars region by changing 2D maps that have been made into AR-based 3D which can be seen in realtime, with the existence of AR-based 3D maps can increase understanding in reading cave maps which can be used to update previously encountered in 2D cave map readings. This study uses the Sommerville version of the Waterfall method, the 3D Cave Map was created using the sketchup and autocad applications, while in making the application using Unity 3D. Augmented Reality Cave Map application has been successfully created and has been successfully done as expected. Application Testing can be installed on an android device with a minimum specification of OS 5.0 ""Lollipop"". This application has fulfilled the criteria of each question submitted by 77.92%. From the data before, it can be concluded that activist is agree the application helped to see the situation in Jomblang Cave because this application is simplify and provides benefits for speleologists.","Augmented Reality (AR), Map, Jomblang Cave, 3D Cave Map"
", Ir. Bana Handaga, MT, Ph.D.",Sistem Informasi Penjualan Pada Sutrisno Konveksi,"Sutrisno Konveksi is an UKM (Small and Medium Enterprise) that produces various kinds of school uniforms, organizational uniforms, screen printing shirts, sports shirts, and also cloth masks located in
Nglaroh village RT 01 RW 06, Nangsri, Kebakkramat, Karanganyar Regency, Central Java. In daily activities, there are many new customers and transactions that must be recorded first. The data collection
is still done manually by recording data in a book which causes data collection to take a long time and makes work inefficient. The researcher concluded that Sutrisno's convection requires a sales information
system that is able to assist in his business activities. Making a sales information system at Sutrisno's
convection is implemented in the form of a website. The method used is the waterfall method. This system is built using Bootstrap, HTML, CSS and MySQL. The testing uses Black Box Testing and User Acceptance Test to 10 respondents. The results of the Black Box Testing show that the features and menus are working properly and correctly. Meanwhile, the results of the User Acceptance Test resulted in an average of 82,062% so that this sales information system was well received by users.","konveksi, penjualan, persediaan, sistem informasi"
"-, Maryam,  S.Kom., M.Eng",Sistem Informasi Gudang Obat dengan Notifikasi Kadaluarsa Via SMS Gateway di Apotek At-Taqwa Plaosan Magetan,"A common problem experienced by pharmacy owners is that all processes of recording and checking drug stocks, both those that have not entered the expiry period or those that have already expired and writing reports on the entry and exit of drugs that will be deposited to the pharmacy owner are still manual. The report still uses the recording in a book or paper so that errors often occur in recording and checking. This can be detrimental to the pharmacy owner. The same problem is experienced by the owner of the At-Taqwa pharmacy in the Plaosan area, Magetan. Therefore, it is needed a drug warehouse information system that is able to dealing with problems with material or time efficiency. This drug warehouse information system is web based with notifications using SMS Gateway. This information system is designed using Visual Studio text editor with the PHP programming language, framework using codeigniter, UI display using Bootstrap 4, database using XAMPP MySQL, and SMS Gateway using NEXMO. This information system can record the entry and exit of drugs that report directly entered into the account of the owner of the pharmacy, then can check the stock of drugs in the pharmacy warehouse and if the drug has entered an expiration period, the owner will be notified via SMS and employees can fully check what drugs are available has expired in the system. Blackbox and SUS test results show a percentage of 82.7% which states that the system is suitable for use.","Drug Warehouse Information System, SMS gateway"
", Azizah Fatmawi, S.T., M.Cs.",Sistem Informasi Profil Siswa dan Bimbingan Konseling Madrasah Ibtidaiyah Muhammadiyah Program Khusus Kartasura,"Madrasah Ibtidaiyah Muhammadiyah Program Khusus Kartasura (MIM PK) is one of the madrasah ibtidaiyah in Sukoharjo. Counseling guidance at MIM PK is very important, while the recording of counseling data is done manually by the instructor and re-typed on the computer. But this is considered less efficient because of the risk of losing more data. The purpose of this research is to develop a student profile information system and guidance for madrasah ibtidaiyah muhammadiyah special program Kartasura. This research uses the waterfall method, with five sequential stages including communication, planning, modelling, construction, and deployment. The system has been completed, with the creation of a Student Profile Information System and Counseling Guidance for Madrasah Ibtidaiyah Muhammadiyah Special Program Kartasura. Based on the results of the blackbox testing it can be concluded that the system can run as expected and all feautures function properly.","Counseling, information system, profile, waterfall"
", Nurgiyatna S.T., M.Sc., Ph.D.",Sistem Informasi Manajemen Surat Unit Pelaksana Teknis Dinas Pendidikan Kecamatan Juwiring Berbasis Web,"The Technical Implementation Unit of the Service (UPTD) is an element of the operational technical implementer and supporting Office on the Field. The Juwiring District Education UPTD has the main task of fostering and controlling part of the affairs of the District Education Office. In this case the UPTD Education in Juwiring District plays an important role to take care of primary school data in the sub-district and one of the activities related to the UPTD Education in the Juwiring District is that if there is an announcement that must be notified either from the Education Office or from other institutions it is delivered by mail. So it is expected that the management of both incoming and outgoing letters can be done better and faster. This website-based information system design uses PHP as its programming language and MySQL as a database creation program which is then simulated via localhost or local server. The research methods used for the letter archive problem are observation, interviews, data analysis, system design, system development, program testing, system implementation. The end result of this system is a internet site that provides statistics on incoming and outgoing mail reports on UPTD, letter agendas and functions for letter archiving.","office, management information system, archives, website."
